1|Halo Kamu|Aku Punya Sesuatu Nih|Scroll ke bawah ya|Kamu SYG Engga Sama Aku? 🤭❤️|SYG|GA|Wewww|Seberapa syg nih?|Uhuuuyy|Makasi udh sayang sama aku |Skrg kamu kngn g?|Y|G|Hemmm|I LV U|Mencintaimu ibarat<br>Goreng ndog<br>Diceplok dadar|Jgn lupa balas ke WA ya!|.
5||Aku punya ini|Scroll ya|Kamu Sayang Engga Sama Aku? 🤭❤️|Sayang|Ngga|||||Kngn g sm ak?|Kgn|G|||||.
6|||| Kamu benci gak Sama aku😓|Enggak| Benci😓| Yayyy!!kamu beneran sayang Sama aku????||||| Kangennn| Enggak| Aku kangen Sama kamu kamu kangen Sama aku gak?| KITA BESTIE SELAMANYAAA|||.
7|hai Syg |bb ade bende nk tanye ni |tapi sayang scroll cikit |awk sayang bb tak|sayang|tak syg...|bb pun syang awk jugak muah |awk sayang bb byk mane|hehe|terime taceh sbb sayang  bb|bb ade bende nk cakp hehe nak tau tk|nak|tak nak|Happy 8 month syg ku|i love you mama|terime kasih ye sebab dapat terime baik buruk bb dri dulu sampai sekarang...bb harap kite dapat harung segale macam bende same ii ok syg hehehe...last ii...bb sayang awk sngt ii heheh muah pendek hehehhe|Jngn tinggal b ye syg|.
2|Hay Fika cantik|Aku ada sesuatu nih|Scroll ke bawah yah|Kamu sayang Ga sama aku|Sayang|Engga|Yeayy!!aku juga sama sama aku Fika🥰|Seberapa sayang nih|Yeayy!!|Makasih udh sayang sama aku|Sekarang kamu kangen gk sama aku🥺|Kangen|Engga|Hm aku juga kangen sama kamu|I Love You|Terakhir deh ☺️❤️||.
8|Oi anj|Ayo main |Lek ora ndang login mampus koe|Gelem main ra|Gelem|Gelem|Yws gass main|Gae kartu impos aku|Koe mbarang gae o|Login!!!|Koe gae kartu opo?|Impos|Netral|Opo spacecrew|Terima gaji|Bales ra||.
9|Halo selamat malam|Aku ada pertanyaan nih buat kamu||Kamu udah makan blom|Udah|Belum|Aku ada pantun nih|Hewan buaya hewan kepiting sepertinya kita bakal asing|Oke||Kalo misalnya aku pergi dan gak kembali lagi kamu sedih gak❤️|Sedih||Jadi jangan sampai kita asing yah♥️♥️||Terakhir nih mencintai mu seperti air laut yang tiada habis nya ♥️♥️♥️||.
10|Hay|Aku ada sesuatu nih buat kamu|Scroll ke bawah|Kamu sayang sama aku Gak? |Sayang |Engga|Yeayy! Aku juga sayang kamu|Seberapa sayang kamu|Yeayy|Makasi udah sayang aku|Sekarang kamu kangen gak sama aku|Kangen |Engga|Aku juga kangen banget sama kamu|I love you|Terima kasih karena telah mncintai diriku ini|Jangan lupa balas di wa ya sayang|.
11|||||||Yeayy aku juga mau jadi pacar kamu kok🤭|Seberapah sayang kamu ke aku|||Sekarang kamu kangen gak sama aku😚||||Terima kasih❤|Terakhir deh 🤭❤ makasih kamu udah selalu ada buat aku maaf jika akhir-akhir ini aku jadi cuek ke kamu aku cuma ga mau jadi orang ke tiga semoga kalian langgeng.. Kalau kalian nikah jangan lupa undang aku||.
12||||Kamu suka GK SM aku?|Suka cantik||Yeayy aku juga suka SM kamu|Seberapa suka nih?99, 9%||Makasih udah suka SM akuu||Mungkin||||||.
13||||Kamu tau gak sekarang hari apa? 🥺|Tau||Yeyy kamu masih ingat dengan ulang tahun aku😊|Seberapa ingat kamu sama ultah aku? |Yeyy makasih udah ingat❤|Terimakasih kamu ingat sama ultahku💕|Sekarang mana ucapannya|Selamat ultah|Gak tau|Makasih😘😘|😊😊|Terakhir mana kado untuk aku? 😁|Jangan lupa kasih aku kado, oke 👌|.
14|Hayy teman|Aku pengen kasih tau nih|Scroll kebawah ya|Kamu masih mau jadi bestie aku ga|Iya ♥️|Engga|Ohh kira udah ga mau jadi bestie aku lagi|Masih seberapa mau km jadi bestie aku|Yeayy!✨👏🏻|Makasih udah mau jadi bestie aku |Sekarang kamu udah punya bestie baru lagi ya|Iya♥️|Engga|Ohh kirain udah punya yang baru |Makasih ya= iya sama sama|Djwjsj|Jdjdjd|.
15|Hayy |||Kamu nyesel ga kenal sama aku|Engga|Iya|Yeayy.. Aku mau nanya|Seberapa beruntungnya kamu bertemu dengan aku?? ||Makasih ❤💝💝|Kamu mau ga sama aku selamanya|Mau||Hmm... Kita akan selalu bersama |❤❤❤❤❤❤|Sungai di Bukit bercampur batu berkelok kelok berliku liku<br>Saling menolong saling membantu terimakasih wahai sahabatku ❤|Jngn lupa balas|.
16|Hay ganteng♥️ apa kabar|Aku aku kejutan buat kamu🌈|Scroll ke bawah ini y ganteng✨|Kamu cinta gak sama aku|Cinta|Najis|Yey.., aku juga cinta sama kamu ganteng |Berapa cinta nihh ✨💐|Yey💐💐💐|Makasih udah cinta sama aku|Sekarang kamu suka gak sama aku?|Suka|Gak|Hm.. aku juga suka sama kamu ganteng |I LOVE YOU ||Jangan lupa setia y sama aku ganteng |.
17||||||||||||||||||.
19|Hayy kamu ❤️‍🩹❤️‍🩹|Aku ada sesuatu nihh|Scroll ke bawah ya|Kamu sayang ga sama aku|Sayang|Enggak|Yeyyy kmu sayang, kalau nggak aku juga gak maksa|Seberapa sayang nih|Yeayy✨|Makasih ya udh sayang sama aku|Sekarang kamu kangen gak|Kangen |Enggak|Hm, aku juga kangen sama kamu|I love you ❤|Pesan terakhir.Mencintai mu serupa air laut, pasang surut akan selalu ada, namun air laut tidak prnh berubah rasa <3 hehe. ||.
20|Hay gii|Aku ad sesuatu nihh|Scroll ke bawah gii|Kamu sayang ga sama aku gii?|Sayang|Engga|Yeayy aku juga sayang banget sama kamu gii |Seberapa kamu sayang gua nih giii|Hm..oke makasih ya gii|Makasih sayang🗿🌷|Sekarang kamu kan udah pulkam ke jakarta kamu ga boleh caper  ya gii, 🌷 |Iya ga caper!!|Caper!!|Oke gii❤️|Makasih udh mau buka :)|Very good very well aku sayang kamu welll🗿💗||.
21||||||||||||||||||.
22|HaLwOh SaYaNg 😘|AdyA sEsUaTUnI|ScrOOl dI bAwAh yAh|K4mU m4U  g4K jAwd1h p4C4r 4Ku|Iwyah|engwah|Jw4diq kiwT4 s3k4R4n9 pwcarwan ya😘😘|K4mU S4y4n9 4kU b3R4p4 p3r5eN🥺😘||Mwakisw yahhw uD4h 5Ay4n9 4Ku|Syekarang kamu4 k4ng3n9 4kU 9ak|K4ng3n9|Ewngga|Akyu jgya kangen kamu🥺😘🥰😍🤬|1 L0v3 y0u😍💅😍😘😍💅🤬💅🤬🤬🥰💅|Kitya putyus dehh kamyu j3l3k🤢🤮🤮||.
23||||||||||||||||||.
24||||||||||||||||||.
25|Hai selamat malam😊||||||||||Kalo misalnya aku pergi dan gak bisa ngechat atau Mabar kamu sedih gak🙃|Sedih||Aku juga sedih kehilangan kamu💛💛||Aku ada pantun nih. <br>Perbaiki genteng ada kepiting<br>Kamu ganteng aku yg salting😖😖|😊😊|.
26|Rian love aulia|Rian love fika|Rian love aulia lagi|Rian sayang Aulia sama fika|Benar||Yeayy sudah kuduga|||Makasi udah sayang sama fika dan aulia|Sekarang kamu kangen nggak sama mereka berdua |||Hm. Mereka juga kangen kamu pasti|By Fika aulia||Jgn lupa balas ke WA ya!|.
27|Hay Ganteng!|Aku ada sesuatu niii||Kamu sayang sama aku gaaa?|||Yeayy!Aku juga sayang bgt sama kamu hehe|Seberapa persen niii sayang nyaaa?||Makasii dah sayang sama aku yaaa|Sebenarnya kamu suka siapa si?blng aja kalo bkn aku orngny aku ga bkl berharap lagi |Orangny kamu|Orangya bkn kamu|Makasi dah suka Ara!Ara juga suka kamu kok|I Love You✨|Gpp kan kalo Ara suka kamu?Ara sadar diri aja kalo Ara tu mukany standar bgtttt huhu<br>Satu hal yg Ara pengen jangan ngilang/asing yaaa nanti Ara kangenn aduh alay ai love youuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu<3||.
28||||||||||||||||||.
29|||||||||||Maaf yaa aku belum bisa jadi yang terbaik baik untuk kamuu 😔🫶|Ya gapapa |.|Aku kangen sama kamuu pen balik kek dulu tapi ga bisaaa, yaudah itu aja byee🫶🫶||Terakhir deh , jangan kangen sama aku yahh🫶🫶||.
30|Hi kontol 🖕|Anj|Anj|Kontol |Kontol |Kontol|Pussy|Pussy|Pussy|Pussy is slay||Kontol |Memek||Kontol🖕|Perihal apa yang dilakukan anj ini<br> Ai lopyu:)||.
31|Hai shafa|Aku ada sesuatu ni|Scrol ke bawah|Kamu sayang ngak sama aku|Sayang|Enggak|Yeyy aku juga sayang sama kamu|Seberapa sayang ni|Yeyy |Makasi udah sayang sama aku|Kamu Masi sayang ngak sama pikar|Enggak|Sayang|Ai Makasi udah menyayangi ku |I love you|Terakhir deh ai maaf kalo ada Salah dan jadilah orang baik dan menyayangi orang tua ya|Jangan lupa cat aku ya di wa 😊|.
32|Hay Bestie! |||Kamu mau jadi sahabat ku selamanya? |Iya|Tidak|Yeayy! Lope you bestie aku bakal tidak melupakan mu|||||Makasih|Ogah|Kapan-kapan telponan! |I love you 💗|Sesisa rasa jangan melupakan aku keluarga mu guru mu we need you and love you From Bilqis for aleene|Love you aleene|.
33|Siti Khairah Binti Asalal|Saya bakal suami awak|Tenokk bawah|Awak sayang baby tak?❤️🥺|Sayang sangat|Tak pernah|Baby sayang awak jugak🥺❤️|Berapa peratus sayang kat baby?🥺❤️|hehe❤️✨|Tenkiuu >3<|Sayang rindu baby tak?🥺❤️|Rindu sangat|Tak pernah|Baby awak pun yindu awak❤️🥺|i wubb yu choo machh❤️||Mwuahh❤️|.
34|Yaya sayang|Mas mau nunjukin yaya ini|Scroll ke bawah ya sayang|Yaya sayang ga sama mas?||Sayangggg bangett|Mhmm mas juga sayang banget sama yayaa💗💖💝💕💖💗💞💗💓|Seberapa yaya sayang nyah??|Yeyeyeyeyyy|I love you sayangku|Ada kelly makan keju, mau ga jadi pacar aku?|Mau|Mau|Yeyeyeyyyy maacih ayang mas sayang yaya cinta yaya, semoga kita langgeng terus ya sampe selama lamanya aamiin dan sampe nikah dan bahagia selalu, mas cinta yaya dan ga ada yang lain yaya hidup mas dan segalanya buat mas, maacih ya sayang udha ada selalu buat mas dan mas minta maaf kalo mas belum bisa jadi yang terbaik buat yaya, mwwaahh💝💓💝💗💕💞💕💞|bahagia selalu ya cantikk |Makan daging banyak tulang<br>Sungguh enak minum fanta<br>Serius dah, cuma yaya doang<br>Orang spesial yang mas cinta💕|Balas ya sayangg|.
35||||||||||||||||||.
